"source","target","type","description"
"spider-man-nwh","raimi-spider-man","recast-return","Willem Dafoe returns as Norman Osborn / Green Goblin, pulled out of Earth-96283 mid-fall."
"spider-man-nwh","raimi-spider-man-2","recast-return","Alfred Molina returns as Otto Octavius, grabbed from the moment before his death."
"spider-man-nwh","raimi-spider-man-3","recast-return","Thomas Haden Church returns as Flint Marko / Sandman."
"spider-man-nwh","tasm","recast-return","Rhys Ifans returns as Curt Connors / the Lizard."
"spider-man-nwh","tasm-2","recast-return","Jamie Foxx returns as Max Dillon / Electro."
"spider-man-nwh","raimi-spider-man-3","variant","Tobey Maguire's Peter Parker crosses over as the Earth-96283 variant."
"spider-man-nwh","tasm-2","variant","Andrew Garfield's Peter Parker crosses over as the Earth-120703 variant — and catches MJ."
"spider-man-nwh","netflix-daredevil","cameo","Charlie Cox appears as Matt Murdock, Peter's attorney — the Netflix continuity's first on-screen entry into a Marvel Studios film."
"spider-man-ffh","raimi-spider-man","recast-return","J.K. Simmons returns as J. Jonah Jameson in the post-credits — recast from Earth-96283 into the MCU."
"venom-2","spider-man-nwh","crossover","The mid-credits scene yanks Eddie Brock into the MCU, where he watches Jameson's broadcast unmasking Spider-Man."
"spider-man-nwh","venom-2","post-credits-setup","Eddie is snapped back to Earth-688B but leaves a fragment of the symbiote behind in an MCU bar."
"morbius","spider-man-homecoming","crossover","The post-credits scene drags Michael Keaton's Adrian Toomes / Vulture out of the MCU and into the SSU via a No Way Home-style spell."
"venom","venom-2","continuation","Direct continuation of Eddie Brock and the symbiote's story."
"venom-2","venom-3","continuation","Direct continuation, closing the Venom trilogy."
"madame-web","venom","tie-in","Shares the SSU's continuity and Spider-mythology (Ezekiel Sims, the Parker family) without a character crossover."
"kraven","venom","tie-in","The final SSU film; shares the reality without crossing into any other entry."
"deadpool-wolverine","blade","recast-return","Wesley Snipes returns as Blade, twenty years after Trinity."
"deadpool-wolverine","elektra","recast-return","Jennifer Garner returns as Elektra from Earth-701306."
"deadpool-wolverine","fantastic-four-2005","recast-return","Chris Evans returns — as Johnny Storm, not Steve Rogers."
"deadpool-wolverine","logan","continuation","Dafne Keen returns as Laura / X-23, now grown, from Logan's timeline."
"deadpool-wolverine","x2","recast-return","Aaron Stanford returns as Pyro."
"deadpool-wolverine","x-men","recast-return","Tyler Mane returns as Sabretooth and Ray Park as Toad, from the 2000 original."
"deadpool-wolverine","deadpool-2","continuation","Picks up Wade Wilson's story directly, then hands him to the TVA."
"deadpool-wolverine","loki","crossover","Built on the TVA and the Void — the machinery Loki season 1 established."
"deadpool-wolverine","xmen-97","tie-in","Wolverine finally wears the comic-accurate yellow-and-blue the animated series made iconic."
"deadpool-wolverine","x-men-dofp","variant","Canonises Earth-10005 as an 'anchor reality' — the Fox films are no longer erased."
"doctor-strange-2","what-if","crossover","Hayley Atwell's Captain Carter steps out of the animated multiverse and onto Earth-838 in live action."
"doctor-strange-2","inhumans","recast-return","Anson Mount returns as Black Bolt, from the 2017 ABC series, as an Illuminati member."
"doctor-strange-2","x-men","recast-return","Patrick Stewart returns as Charles Xavier — in the animated series' hoverchair."
"doctor-strange-2","an-xmen-tas","tie-in","Xavier's Earth-838 introduction is scored with the 1992 animated series theme."
"doctor-strange-2","captain-marvel","crossover","Lashana Lynch's Maria Rambeau is Earth-838's Captain Marvel."
"doctor-strange-2","wandavision","continuation","Directly continues Wanda's Darkhold corruption and her search for Billy and Tommy."
"doctor-strange-2","spider-man-nwh","tie-in","Names Strange's botched spell as the trigger for the incursions."
"doctor-strange-2","fantastic-four-first-steps","cameo","John Krasinski's Reed Richards cameo on Earth-838, three years before Marvel Studios' own Fantastic Four."
"into-spider-verse","across-spider-verse","continuation","Direct continuation — Across picks up Miles' story and expands it to hundreds of realities."
"into-spider-verse","an-spider-man-1967","cameo","The post-credits sting sends Miguel to Earth-67 and recreates the pointing meme."
"across-spider-verse","an-spider-man-unlimited","cameo","Spider-Man Unlimited's design recurs among Spider Society background variants."
"across-spider-verse","raimi-spider-man-2","cameo","Miguel's screens replay live-action footage from the Raimi films."
"across-spider-verse","tasm-2","cameo","Live-action Amazing Spider-Man footage appears in the Spider Society's canon-event archive."
"across-spider-verse","venom","cameo","Earth-688 — the Venom films' reality — is visible on the Spider Society's multiverse display."
"hawkeye","netflix-daredevil","continuation","Vincent D'Onofrio returns as Wilson Fisk, carrying the Netflix Kingpin straight into Marvel Studios canon."
"echo","hawkeye","continuation","Picks up Maya Lopez immediately after the Hawkeye finale."
"echo","netflix-daredevil","continuation","Kingpin and Matt Murdock both appear, settling the Netflix shows' canon status."
"daredevil-born-again","netflix-daredevil","continuation","Direct continuation of Murdock and Fisk after the Netflix finale."
"daredevil-born-again","echo","continuation","Continues Fisk's mayoral campaign, set up in Echo."
"daredevil-born-again","netflix-punisher","continuation","Jon Bernthal returns as Frank Castle across season 1."
"daredevil-born-again","netflix-jessica-jones","continuation","Krysten Ritter returns as Jessica Jones in season 2 — her first appearance since The Defenders."
