"id","title","type","release","year","end","studio","platform","saga","phase","earth","univName","universe","inuniv","dpos","dateCertainty","runtime","seasons","episodes","gross","budget","director","connections","tmdbId","poster"
"iron-man","Iron Man","film","2008-05-02","2008",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2010","4","official","126",,,"585796247","140000000","Jon Favreau","1","1726","78lPtwv72eTNqFW9COBYI0dWDJa.jpg"
"incredible-hulk","The Incredible Hulk","film","2008-06-13","2008",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2011","6","official","112",,,"264770996","150000000","Louis Leterrier","3","1724","gKzYx79y0AQTL4UAk1cBQJ3nvrm.jpg"
"iron-man-2","Iron Man 2","film","2010-05-07","2010",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2011","5","official","125",,,"623933331","200000000","Jon Favreau","0","10138","6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg"
"thor","Thor","film","2011-05-06","2011",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2011","8","official","114",,,"449326618","150000000","Kenneth Branagh","1","10195","prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg"
"cap-first-avenger","Captain America: The First Avenger","film","2011-07-22","2011",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","1943–1945","1","official","124",,,"370569774","140000000","Joe Johnston","2","1771","vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg"
"avengers","The Avengers","film","2012-05-04","2012",,"Marvel Studios","Theatrical","Infinity Saga","Phase One","Earth-199999","The Sacred Timeline","mcu","2012","10","official","143",,,"1520538536","220000000","Joss Whedon","1","24428","RYMX2wcKCBAr24UyPD7xwmjaTn.jpg"
"iron-man-3","Iron Man 3","film","2013-05-03","2013",,"Marvel Studios","Theatrical","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2012–2013","13","official","130",,,"1215577205","200000000","Shane Black","2","68721","qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg"
"thor-dark-world","Thor: The Dark World","film","2013-11-08","2013",,"Marvel Studios","Theatrical","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2013","12","official","112",,,"644783140","170000000","Alan Taylor","1","76338","wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg"
"cap-winter-soldier","Captain America: The Winter Soldier","film","2014-04-04","2014",,"Marvel Studios","Theatrical","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2014","15","official","136",,,"714421503","170000000","Anthony & Joe Russo","1","100402","tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg"
"gotg","Guardians of the Galaxy","film","2014-08-01","2014",,"Marvel Studios","Theatrical","Infinity Saga","Phase Two","Earth-199999","The Sacred Timeline","mcu","2014","16","official","122",,,"773350147","170000000","James Gunn","2","118340","r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg"
